,year,quarter,count,company_code,pub_code,,,,,,,,,
101,2020,2,0,natnnl,sfglob,,,,,,,,,
0,1995,1,0,natnnl,sfftftp,,,,,,,,,
1,1995,2,0,natnnl,sfftftp,,,,,,,,,
2,1995,3,0,natnnl,sfftftp,,,,,,,,,
3,1995,4,0,natnnl,sfftftp,,,,,,,,,
4,1996,1,0,natnnl,sfftftp,,,,,,,,,
5,1996,2,0,natnnl,sfftftp,,,,,,,,,
6,1996,3,0,natnnl,sfftftp,,,,,,,,,
7,1996,4,0,natnnl,sfftftp,,,,,,,,,
8,1997,1,0,natnnl,sfftftp,,,,,,,,,
9,1997,2,0,natnnl,sfftftp,,,,,,,,,
10,1997,3,0,natnnl,sfftftp,,,,,,,,,
11,1997,4,0,natnnl,sfftftp,,,,,,,,,
12,1998,1,0,natnnl,sfftftp,,,,,,,,,
13,1998,2,0,natnnl,sfftftp,,,,,,,,,
14,1998,3,0,natnnl,sfftftp,,,,,,,,,
15,1998,4,0,natnnl,sfftftp,,,,,,,,,
16,1999,1,0,natnnl,sfftftp,,,,,,,,,
17,1999,2,0,natnnl,sfftftp,,,,,,,,,
18,1999,3,0,natnnl,sfftftp,,,,,,,,,
19,1999,4,0,natnnl,sfftftp,,,,,,,,,
20,2000,1,0,natnnl,sfftftp,,,,,,,,,
21,2000,2,0,natnnl,sfftftp,,,,,,,,,
22,2000,3,0,natnnl,sfftftp,,,,,,,,,
23,2000,4,0,natnnl,sfftftp,,,,,,,,,
24,2001,1,0,natnnl,sfftftp,,,,,,,,,
25,2001,2,0,natnnl,sfftftp,,,,,,,,,
26,2001,3,0,natnnl,sfftftp,,,,,,,,,
27,2001,4,0,natnnl,sfftftp,,,,,,,,,
28,2002,1,0,natnnl,sfftftp,,,,,,,,,
29,2002,2,0,natnnl,sfftftp,,,,,,,,,
30,2002,3,0,natnnl,sfftftp,,,,,,,,,
31,2002,4,0,natnnl,sfftftp,,,,,,,,,
32,2003,1,0,natnnl,sfftftp,,,,,,,,,
33,2003,2,0,natnnl,sfftftp,,,,,,,,,
34,2003,3,0,natnnl,sfftftp,,,,,,,,,
35,2003,4,0,natnnl,sfftftp,,,,,,,,,
36,2004,1,0,natnnl,sfftftp,,,,,,,,,
37,2004,2,0,natnnl,sfftftp,,,,,,,,,
38,2004,3,0,natnnl,sfftftp,,,,,,,,,
39,2004,4,0,natnnl,sfftftp,,,,,,,,,
40,2005,1,0,natnnl,sfftftp,,,,,,,,,
41,2005,2,0,natnnl,sfftftp,,,,,,,,,
42,2005,3,0,natnnl,sfftftp,,,,,,,,,
43,2005,4,0,natnnl,sfftftp,,,,,,,,,
44,2006,1,0,natnnl,sfftftp,,,,,,,,,
45,2006,2,0,natnnl,sfftftp,,,,,,,,,
46,2006,3,0,natnnl,sfftftp,,,,,,,,,
47,2006,4,0,natnnl,sfftftp,,,,,,,,,
48,2007,1,0,natnnl,sfftftp,,,,,,,,,
49,2007,2,0,natnnl,sfftftp,,,,,,,,,
50,2007,3,0,natnnl,sfftftp,,,,,,,,,
51,2007,4,0,natnnl,sfftftp,,,,,,,,,
52,2008,1,0,natnnl,sfftftp,,,,,,,,,
53,2008,2,0,natnnl,sfftftp,,,,,,,,,
54,2008,3,0,natnnl,sfftftp,,,,,,,,,
55,2008,4,0,natnnl,sfftftp,,,,,,,,,
56,2009,1,0,natnnl,sfftftp,,,,,,,,,
57,2009,2,0,natnnl,sfftftp,,,,,,,,,
58,2009,3,0,natnnl,sfftftp,,,,,,,,,
59,2009,4,0,natnnl,sfftftp,,,,,,,,,
60,2010,1,0,natnnl,sfftftp,,,,,,,,,
61,2010,2,0,natnnl,sfftftp,,,,,,,,,
62,2010,3,0,natnnl,sfftftp,,,,,,,,,
63,2010,4,0,natnnl,sfftftp,,,,,,,,,
64,2011,1,0,natnnl,sfftftp,,,,,,,,,
65,2011,2,0,natnnl,sfftftp,,,,,,,,,
66,2011,3,0,natnnl,sfftftp,,,,,,,,,
67,2011,4,0,natnnl,sfftftp,,,,,,,,,
68,2012,1,0,natnnl,sfftftp,,,,,,,,,
69,2012,2,0,natnnl,sfftftp,,,,,,,,,
70,2012,3,0,natnnl,sfftftp,,,,,,,,,
71,2012,4,0,natnnl,sfftftp,,,,,,,,,
72,2013,1,0,natnnl,sfftftp,,,,,,,,,
73,2013,2,0,natnnl,sfftftp,,,,,,,,,
74,2013,3,0,natnnl,sfftftp,,,,,,,,,
75,2013,4,0,natnnl,sfftftp,,,,,,,,,
76,2014,1,0,natnnl,sfftftp,,,,,,,,,
